name,logo
Giskard,logo-giskard-stacked light bg.png
PyRIT,https://azure.github.io/PyRIT/_static/roakey.png
NVIDIA Garak,https://pbs.twimg.com/profile_images/1684796654929727489/z69m4Q-G_400x400.jpg
Nmap,https://upload.wikimedia.org/wikipedia/commons/7/73/Logo_nmap.png?20230731104508
Burp Suite,https://www.opsmx.com/wp-content/uploads/2024/09/Burp-suite-pro-1.svg
OWASP ZAP,https://forwardsecurity.com/wp-content/uploads/2023/03/OWASP-ZAP-1.png
OWASP Threat Dragon,https://owasp.org/www-project-threat-dragon/assets/images/cupcake-256x256.png
OWASP Dependency-Track,https://raw.githubusercontent.com/DependencyTrack/branding/refs/heads/master/dt-logo-vertical.svg
Anchore,https://cdn-dllid.nitrocdn.com/lfaFdmeTaONuMeYAvisIiEiZRrNJpVpd/assets/images/source/rev-954346f/anchore.com/wp-content/uploads/2023/01/logo-1.svg
Tenable,https://upload.wikimedia.org/wikipedia/commons/thumb/6/66/Tenable%2C_Inc._logo.svg/1598px-Tenable%2C_Inc._logo.svg.png?20240929020540
MITRE ATT&CK,https://images.squarespace-cdn.com/content/v1/5ab952d7506fbeaa1f512f11/1586076420678-9G5MBZOQJLH0WXKP42V3/5bfdce88cd3820f7c5c21e02_mitre.png?format=1500w
Caldera,https://wazuh.com/uploads/2022/04/caldera-post-icon.png
Kali,https://www.kali.org/images/kali-logo.svg
Metasploit,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5e/Logo_of_Metasploit.svg/1920px-Logo_of_Metasploit.svg.png?20250102060637
Docker,https://www.docker.com/wp-content/uploads/2022/03/Moby-logo.png
Terraform,https://upload.wikimedia.org/wikipedia/commons/thumb/0/04/Terraform_Logo.svg/1024px-Terraform_Logo.svg.png
AWS,https://upload.wikimedia.org/wikipedia/commons/thumb/9/93/Amazon_Web_Services_Logo.svg/1024px-Amazon_Web_Services_Logo.svg.png
Azure,https://www.bizstream.com/wp-content/uploads/2022/04/microsoft-azure-logo.png
GitHub,https://1000logos.net/wp-content/uploads/2018/11/GitHub-logo.jpg
Git,https://git-scm.com/images/logos/2color-lightbg@2x.png
Postman,https://voyager.postman.com/logo/postman-logo-orange-stacked.svg
Grafana,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a1/Grafana_logo.svg/1024px-Grafana_logo.svg.png
Jenkins,https://www.learntek.org/blog/wp-content/uploads/2018/05/jenkins_image.png
